16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
16,8,18,13,0,9,3,2,6,14,19,12,11,5,10,7,4,1,15,17,
10,4,16,11,8,17,15,0,9,1,12,19,6,5,13,2,18,7,14,3,
16,11,8,17,15,0,9,1,10,4,12,19,6,5,13,2,18,7,14,3,
11,4,2,3,14,7,18,13,5,6,19,12,10,1,9,0,15,17,8,16,
11,4,2,3,14,7,18,13,5,6,19,12,10,1,9,0,15,17,8,16,
11,4,2,3,14,7,18,13,5,6,19,12,10,1,9,0,15,17,8,16,
11,4,2,3,14,7,18,13,5,6,19,12,10,1,9,0,15,17,8,16,
11,4,2,3,14,7,18,13,5,6,19,12,10,1,9,0,15,17,8,16,
11,4,2,10,14,7,18,13,3,6,19,12,5,1,9,0,15,17,8,16,
11,4,2,3,14,7,18,13,16,8,17,15,0,9,1,10,12,19,6,5,
11,4,2,3,14,7,18,13,16,8,17,15,0,9,1,10,12,19,6,5,
11,4,2,3,14,7,18,13,16,8,17,15,0,9,1,10,12,19,6,5,
11,4,2,3,14,7,18,13,16,8,17,15,0,9,1,10,12,19,6,5,
11,4,2,3,14,7,18,13,16,8,17,15,0,9,1,10,12,19,6,5,
11,8,4,15,0,9,1,13,2,10,14,7,18,3,6,19,12,5,17,16,
11,8,4,15,0,9,1,13,2,10,14,7,18,3,6,19,12,5,17,16,
11,8,4,15,0,9,1,13,2,10,14,7,18,3,6,19,12,5,17,16,
11,8,4,15,0,9,1,13,2,10,14,7,18,3,6,19,12,5,17,16,
